Make | Model | Segment | Notes
Chevrolet | Blazer | Midsize crossover | Sold in U.S. and Canada
Chevrolet | Blazer EV | Midsize electric crossover | U.S./Canada lineup
Chevrolet | Bolt EUV | Subcompact electric crossover | U.S. and Canada EV lineup
Chevrolet | Camaro | Performance coupe | Final 2024 model year in North America
Chevrolet | Colorado | Midsize pickup | U.S./Canada
Chevrolet | Corvette | Sports car | Stingray and Z06 for North America
Chevrolet | Equinox | Compact crossover | U.S./Canada top seller
Chevrolet | Equinox EV | Compact electric crossover | Launching 2024 U.S./Canada
Chevrolet | Malibu | Midsize sedan | Final 2024 model year in North America
Chevrolet | Silverado 1500 | Full-size pickup | U.S./Canada high volume
Chevrolet | Silverado HD | Heavy-duty pickup | 2500/3500 series for U.S./Canada
Chevrolet | Suburban | Full-size SUV | Standard and HD models
Chevrolet | Tahoe | Full-size SUV | Short-wheelbase sibling to Suburban
Chevrolet | Trailblazer | Subcompact crossover | U.S./Canada lineup
Chevrolet | Traverse | Three-row crossover | Redesigned 2024 model
Chevrolet | Trax | Subcompact crossover | Second-generation returned for 2024
Chevrolet | Express | Full-size van | Cargo and passenger variants
GMC | Acadia | Three-row crossover | 2024 redesign, U.S./Canada
GMC | Canyon | Midsize pickup | U.S./Canada
GMC | Hummer EV Pickup | Electric pickup | EV3X and fleet trims
GMC | Hummer EV SUV | Electric SUV | Launching 2024 in North America
GMC | Sierra 1500 | Full-size pickup | U.S./Canada
GMC | Sierra HD | Heavy-duty pickup | 2500/3500 series
GMC | Terrain | Compact crossover | U.S./Canada
GMC | Yukon | Full-size SUV | Includes Yukon XL
GMC | Savana | Full-size van | Cargo and passenger variants
Buick | Enclave | Three-row crossover | North American lineup
Buick | Encore GX | Subcompact crossover | U.S./Canada
Buick | Envista | Subcompact crossover coupe | U.S./Canada 2024 launch
Buick | Envision | Compact crossover | North American spec
Cadillac | CT4 | Compact sport sedan | U.S./Canada
Cadillac | CT5 | Midsize sport sedan | Includes CT5-V variants
Cadillac | Escalade | Full-size luxury SUV | Includes ESV long wheelbase
Cadillac | Lyriq | Electric crossover | 2023 launch in North America
Cadillac | XT4 | Subcompact luxury crossover | U.S./Canada
Cadillac | XT5 | Compact luxury crossover | U.S./Canada
Cadillac | XT6 | Three-row luxury crossover | U.S./Canada
Cadillac | Celestiq | Ultra-luxury electric fastback | Limited production for North America
Ford | Bronco | Body-on-frame SUV | Two- and four-door in North America
Ford | Bronco Sport | Compact crossover | North American market
Ford | E-Transit | Electric commercial van | U.S./Canada fleet
Ford | Edge | Midsize crossover | Final 2024 model year in North America
Ford | Escape | Compact crossover | Hybrid and PHEV variants
Ford | Expedition | Full-size SUV | Includes Max extended length
Ford | Explorer | Three-row crossover | Police Interceptor Utility derived
Ford | F-150 | Full-size pickup | Includes Lightning EV and PowerBoost hybrid
Ford | F-Series Super Duty | Heavy-duty pickup | F-250 to F-600 for U.S./Canada
Ford | Maverick | Compact pickup | Hybrid standard in U.S./Canada
Ford | Mustang | Performance coupe/convertible | Includes Dark Horse trims
Ford | Mustang Mach-E | Electric crossover | North American market
Ford | Ranger | Midsize pickup | U.S./Canada
Ford | Transit | Full-size van | Cargo/passenger/cutaway
Lincoln | Aviator | Three-row luxury crossover | U.S./Canada
Lincoln | Corsair | Compact luxury crossover | U.S./Canada
Lincoln | Nautilus | Two-row luxury crossover | 2024 China-built import to North America
Lincoln | Navigator | Full-size luxury SUV | Includes L long wheelbase
Ram | 1500 | Full-size pickup | DT generation
Ram | 1500 Classic | Legacy full-size pickup | DS generation
Ram | Heavy Duty | 2500/3500 pickups | U.S./Canada
Ram | ProMaster | Full-size van | U.S./Canada
Ram | ProMaster City | Compact van | Fleet-focused, U.S./Canada
Dodge | Challenger | Performance coupe | Final 2023/2024 model year
Dodge | Charger | Performance sedan | Final 2023/2024 model year
Dodge | Durango | Three-row SUV | Includes SRT trims
Dodge | Hornet | Compact crossover | Plug-in hybrid R/T available
Chrysler | Pacifica | Minivan | Gas and plug-in hybrid
Chrysler | Pacifica Hybrid | Plug-in hybrid minivan | U.S./Canada
Chrysler | Voyager | Fleet minivan | U.S. fleet sales
Jeep | Cherokee | Compact crossover | Final 2023 model year noted
Jeep | Compass | Compact crossover | Updated 2024 powertrain
Jeep | Gladiator | Midsize pickup | Rubicon and Mojave trims
Jeep | Grand Cherokee | Two-row SUV | Includes 4xe plug-in hybrid
Jeep | Grand Cherokee L | Three-row SUV | U.S./Canada
Jeep | Grand Wagoneer | Full-size luxury SUV | Includes L long wheelbase
Jeep | Wagoneer | Full-size SUV | Includes Wagoneer L
Jeep | Renegade | Subcompact crossover | U.S./Canada (fleet-focused post-2024)
Jeep | Wrangler | Off-road SUV | Includes 4xe plug-in hybrid
Tesla | Cybertruck | Electric pickup | North American production start 2023
Tesla | Model 3 | Compact electric sedan | U.S./Canada
Tesla | Model S | Full-size electric sedan | Dual-motor and Plaid
Tesla | Model X | Three-row electric SUV | Falcon Wing doors
Tesla | Model Y | Compact electric crossover | U.S./Canada top seller
Toyota | 4Runner | Body-on-frame SUV | U.S./Canada
